Source,Target,Timestamp
1,2,1082040960
3,4,1082155800
5,2,1082414340
6,7,1082439600
8,7,1082439720
9,10,1082440380
9,11,1082440440
12,13,1082441160
9,14,1082441700
9,15,1082441820
9,16,1082441880
9,17,1082442120
9,14,1082442300
9,18,1082442540
19,18,1082443020
20,21,1082444940
19,22,1082450040
8,23,1082450220
9,24,1082450640
9,22,1082450640
25,21,1082467080
26,7,1082481120
27,28,1082490240
29,25,1082504040
30,31,1082517480
30,31,1082517480
30,31,1082517480
30,31,1082517480
32,33,1082518020
34,35,1082525520
34,33,1082525700
36,37,1082530920
38,39,1082538840
36,40,1082539500
41,15,1082540280
41,11,1082540340
41,14,1082540460
41,13,1082540460
41,39,1082541420
41,42,1082574180
41,43,1082576340
9,40,1082583660
44,45,1082585460
46,22,1082587680
44,46,1082588220
47,46,1082588460
48,46,1082589480
9,49,1082596500
36,50,1082597700
44,51,1082597700
32,52,1082598000
36,32,1082598120
53,54,1082598360
36,55,1082598540
56,57,1082598540
36,32,1082598660
36,58,1082598720
44,59,1082598900
51,58,1082598900
44,14,1082599020
36,56,1082599320
36,60,1082599680
56,61,1082600040
62,50,1082600400
36,60,1082600760
32,59,1082601420
36,60,1082601840
36,50,1082601900
41,63,1082602560
41,64,1082602620
41,65,1082602680
41,56,1082602680
41,61,1082602740
41,43,1082602740
41,52,1082602800
41,58,1082602800
41,59,1082603040
9,64,1082603100
9,58,1082603160
12,66,1082603160
32,58,1082603220
12,66,1082603220
67,32,1082603460
41,32,1082603520
67,32,1082603640
32,68,1082603640
68,56,1082603820
67,32,1082603820
67,32,1082603940
68,61,1082604000
67,32,1082604060
67,8,1082604660
69,67,1082605380
70,51,1082607120
44,50,1082607240
67,32,1082608320
71,58,1082608380
71,72,1082608440
51,58,1082608500
72,71,1082609220
73,74,1082609640
74,73,1082609700
73,74,1082609880
74,73,1082609940
34,58,1082610060
44,75,1082610060
44,75,1082610240
9,58,1082610240
73,74,1082610300
9,76,1082610300
32,77,1082611320
41,76,1082612100
41,78,1082612100
79,48,1082612460
79,63,1082612520
41,80,1082612580
79,58,1082612640
41,81,1082612640
79,70,1082612940
19,82,1082613360
19,72,1082613420
12,32,1082613420
19,64,1082613900
19,58,1082614020
19,58,1082614020
19,58,1082614020
19,52,1082614380
83,59,1082614440
51,70,1082614440
38,58,1082614800
41,58,1082616000
63,79,1082616060
41,63,1082616060
67,59,1082616300
41,63,1082616720
41,58,1082617080
44,84,1082617620
19,85,1082618160
19,72,1082618280
3,84,1082619000
19,8,1082619180
19,58,1082619240
84,86,1082619780
83,58,1082619960
36,60,1082620020
86,48,1082620200
87,63,1082620500
36,88,1082620680
87,8,1082620920
36,89,1082621340
90,56,1082621400
36,90,1082621400
36,84,1082621460
91,92,1082621520
36,93,1082621760
91,92,1082621820
36,90,1082621820
91,92,1082621940
36,60,1082622180
36,84,1082622660
51,58,1082622780
94,84,1082622900
36,84,1082623260
94,84,1082623260
94,84,1082623620
69,84,1082623740
69,95,1082623740
87,8,1082624040
3,84,1082624400
3,84,1082624640
48,86,1082625180
84,8,1082626260
91,81,1082627220
96,88,1082627340
8,84,1082628360
84,8,1082629260
91,47,1082629560
97,98,1082630220
98,97,1082630340
97,98,1082630400
48,97,1082630520
99,8,1082630820
99,8,1082630820
97,48,1082630940
100,101,1082631180
102,97,1082631240
97,48,1082631600
97,102,1082631600
101,100,1082631960
48,58,1082632020
97,48,1082632020
103,72,1082635080
103,58,1082635440
104,59,1082637540
104,59,1082637540
103,72,1082640060
105,56,1082653500
106,72,1082653680
105,61,1082653920
105,8,1082654040
105,33,1082654460
105,107,1082654760
105,81,1082655240
44,102,1082656020
36,105,1082659260
36,104,1082659860
34,108,1082660160
34,109,1082660700
36,110,1082660940
111,112,1082661540
34,58,1082662440
36,113,1082662680
36,109,1082662740
79,109,1082663460
114,105,1082663640
101,115,1082663760
56,90,1082664540
56,105,1082664600
56,68,1082664600
29,58,1082665920
87,58,1082666160
44,116,1082666700
44,117,1082667240
44,117,1082667300
44,79,1082667780
80,58,1082668200
96,32,1082669400
118,100,1082670300
119,120,1082670660
119,120,1082670660
120,119,1082670720
120,75,1082670840
119,120,1082670900
120,119,1082670960
119,58,1082671020
74,73,1082671380
118,120,1082671980
121,108,1082672460
72,106,1082672700
44,92,1082673480
26,122,1082673900
44,79,1082675400
1,123,1082676180
96,124,1082677440
125,126,1082677500
36,104,1082678640
44,79,1082680200
44,79,1082680860
36,124,1082680980
36,127,1082681580
36,128,1082681640
44,79,1082681880
44,129,1082682000
44,116,1082682180
9,120,1082682300
79,58,1082682720
36,109,1082683800
124,109,1082683920
36,109,1082684100
124,61,1082684220
124,72,1082684400
36,109,1082684880
36,112,1082685240
124,85,1082685480
85,124,1082685600
32,130,1082685660
36,112,1082685720
124,85,1082685720
72,124,1082686620
124,8,1082686860
131,30,1082687220
99,126,1082688000
103,72,1082688360
103,72,1082688720
103,63,1082689020
103,117,1082689080
103,72,1082689500
131,30,1082691480
69,95,1082692140
69,124,1082692200
69,79,1082692200
132,30,1082692200
36,99,1082692560
36,133,1082692560
36,60,1082692620
36,134,1082692800
36,133,1082692920
36,81,1082693040
103,72,1082693340
103,135,1082693580
133,135,1082693640
135,133,1082693700
36,133,1082693700
103,135,1082693700
19,52,1082693940
133,135,1082693940
103,135,1082694000
103,135,1082694060
135,133,1082694060
133,135,1082694120
36,133,1082694120
36,133,1082694600
36,133,1082695380
9,109,1082697420
9,109,1082698440
62,136,1082699460
96,32,1082700000
137,138,1082701020
96,137,1082701200
19,120,1082701440
44,90,1082701440
96,137,1082701440
137,138,1082701440
19,139,1082701860
44,60,1082702400
44,88,1082702520
44,102,1082702580
44,90,1082702640
19,111,1082702640
44,90,1082702880
9,32,1082702880
44,90,1082703000
44,90,1082703180
103,63,1082703420
103,72,1082703480
38,86,1082703540
140,105,1082703540
103,72,1082704020
38,86,1082704560
38,101,1082704740
38,101,1082705520
38,101,1082705520
103,101,1082705640
38,101,1082705760
103,101,1082705760
38,61,1082706720
75,120,1082706720
38,81,1082706840
44,141,1082706960
44,141,1082707080
44,74,1082707500
44,127,1082707680
124,135,1082709840
140,124,1082710200
19,82,1082710260
19,82,1082710560
19,82,1082710680
105,56,1082710920
19,82,1082710980
124,135,1082711040
105,58,1082711100
105,63,1082711100
19,82,1082711100
105,61,1082711160
105,135,1082711340
124,135,1082711700
71,72,1082712600
135,124,1082712840
9,32,1082712960
63,105,1082712960
72,71,1082713200
142,58,1082713320
124,135,1082713380
124,135,1082713560
143,32,1082713740
144,99,1082714040
144,105,1082714220
144,121,1082714340
9,109,1082714460
103,109,1082715660
103,63,1082715840
103,63,1082716560
103,109,1082716680
48,81,1082716680
95,81,1082716860
145,48,1082716920
